name,variables,records,size_in_mb
zm2013kr,9357,13457,197
zm2013br,9045,49207,696
zm2013mr,3566,10000,53
ne1992ir,5289,6503,56
ne1992mr,1788,10000,22
ne1992kr,5614,6899,63
ne1992br,5386,23841,207
ne1992pr,389,34297,61
ne1998ir,5242,7577,63
ne1998mr,1801,10000,22
ne1998kr,5652,4798,42
ne1998br,5418,28888,243
ne1998pr,402,36722,67
ne2006ir,10355,9223,133
ne2006mr,5247,10000,73
ne2006kr,11264,9193,142
ne2006br,10960,34378,515
ne2006pr,558,47964,56
ne2012ir,8816,11160,142
ne2012mr,3731,10000,55
ne2012kr,9678,12558,173
ne2012br,9428,44183,588
ne2012pr,656,64011,83
ci1994mr,1616,10000,20
ci1994ir,5209,8099,67
ci1994kr,5672,3998,35
ci1994br,5419,24870,211
ci1994pr,398,38783,71
ci1998mr,1606,10000,19
ci1998ir,4945,3040,24
ci1998kr,5378,1992,17
ci1998br,5173,7575,61
ci1998pr,395,13139,24
ci2011mr,4453,10000,67
ci2011ir,9942,10060,157
ci2011kr,10664,7776,128
ci2011br,10403,28211,454
ci2011pr,928,51187,156
mz1997ir,4249,8779,54
mz1997mr,990,10000,13
mz1997kr,4630,4122,27
mz1997br,4409,25752,161
mz1997pr,175,44822,21
mz2003ir,8061,12418,141
mz2003mr,3441,10000,48
mz2003kr,8840,10326,128
mz2003br,8491,37443,441
mz2003pr,434,63496,61
mz2011ir,8172,13745,181
mz2011mr,3131,10000,45
mz2011kr,8902,11102,156
mz2011br,8631,37984,516
mz2011pr,822,62750,181
bi1987ir,2421,3970,14
bi1987kr,2704,3811,15
bi1987br,2568,11886,43
bi2010ir,7804,17269,217
bi2010kr,8520,7742,104
bi2010mr,2984,4280,18
bi2010br,8246,24520,319
bi2010pr,888,42420,126
bi2016ir,9489,9389,131
bi2016kr,10400,13192,199
bi2016br,10067,45419,660
bi2016mr,3850,7552,43
bi2016pr,720,78367,109
cd2007kr,10106,8992,141
cd2007pr,860,48291,142
cd2007br,9845,29548,451
cd2007mr,4021,10000,59
cd2007ir,9433,9995,149
cd2013kr,11205,18716,339
cd2013pr,1097,95949,330
cd2013br,10909,59276,1044
cd2013mr,5135,10000,83
cd2013ir,10467,18827,324
gt1987ir,1851,5160,14
gt1987kr,581,4627,5
gt1995ir,3813,12403,72
gt1995kr,955,9952,17
gt2015kr,1290,10000,19
gt2015ir,10061,10000,148
td1996br,5138,25739,181
td1996mr,1279,2320,3
td1996pr,113,37213,11
td1996ir,4496,7454,46
td1996kr,5285,7408,55
td2004br,9532,21448,246
td2004mr,4244,1887,8
td2004pr,253,29614,12
td2004ir,8538,6085,62
td2004kr,9684,5635,66
td2014ir,10032,17719,237
td2014kr,11038,18623,275
td2014br,10927,68989,1002
td2014mr,5565,5248,38
td2014pr,449,99620,79
ye1991br,5235,29803,222
ye1991pr,282,86486,49
ye1991ir,5077,6010,44
ye1991kr,5421,7286,57
ye2013br,9132,64602,834
ye2013pr,574,120923,137
ye2013ir,8720,25434,320
ye2013kr,9383,16093,215
zz2015ir,13160,8348,142
zz2015kr,13900,5968,107
zz2015br,13640,23666,416
zz2015mr,8190,10000,101
zz2015pr,579,37673,45
af2015kr,10584,32712,428
af2015ir,9678,29461,358
af2015br,10319,125715,1592
af2015mr,3830,10760,48
af2015pr,520,203708,175
mm2015kr,9666,4815,62
mm2015ir,8634,12885,151
mm2015br,9358,22989,288
mm2015mr,3013,4747,20
mm2015pr,577,55854,63
tn1988ir,2538,4184,16
tn1988kr,2846,4477,19
tn1988br,2703,16463,65
ao2015ir,9928,14379,201
ao2015kr,10817,14322,216
ao2015br,10496,42002,609
ao2015mr,3865,5684,31
ao2015pr,716,74902,99
